pathway_id,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
pathways_391,entrance_518,901,38,
pathways_392,901,entrance_518,38,
pathways_393,entrance_519,R14,52,
pathways_394,R14,entrance_519,52,
pathways_395,entrance_521,724,63,
pathways_396,724,entrance_521,63,
pathways_397,entrance_522,724,72,
pathways_398,724,entrance_522,72,
pathways_399,entrance_523,724,78,
pathways_400,724,entrance_523,78,
pathways_401,entrance_524,724,84,
pathways_402,724,entrance_524,84,
pathways_403,entrance_525,631,51,
pathways_404,entrance_521,D16,63,
pathways_405,D16,entrance_521,63,
pathways_406,entrance_522,D16,72,
pathways_407,D16,entrance_522,72,
pathways_408,entrance_523,D16,78,
pathways_409,D16,entrance_523,78,
pathways_410,entrance_524,D16,84,
pathways_411,D16,entrance_524,84,
pathways_412,entrance_521,724,63,
pathways_413,724,entrance_521,63,
pathways_414,entrance_522,724,72,
pathways_415,724,entrance_522,72,
pathways_416,entrance_523,724,78,
pathways_417,724,entrance_523,78,
pathways_418,entrance_524,724,84,
pathways_419,724,entrance_524,84,
pathways_420,entrance_525,631,51,
pathways_421,631,entrance_525,51,
pathways_422,entrance_525,723,63,
pathways_423,723,entrance_525,63,
pathways_424,entrance_525,901,44,
pathways_425,901,entrance_525,44,
pathways_426,entrance_526,631,47,
pathways_427,631,entrance_526,47,
pathways_428,entrance_526,723,59,
pathways_429,723,entrance_526,59,
pathways_430,entrance_526,901,48,
pathways_431,901,entrance_526,48,
pathways_432,entrance_527,B10,39,
pathways_433,B10,entrance_527,39,
pathways_434,entrance_528,631,41,
pathways_435,631,entrance_528,41,
pathways_436,entrance_528,723,52,
pathways_437,723,entrance_528,52,
pathways_438,entrance_528,901,58,
pathways_439,901,entrance_528,58,
pathways_440,entrance_529,B10,34,
pathways_441,B10,entrance_529,34,
pathways_442,entrance_530,631,40,
pathways_443,631,entrance_530,40,
pathways_444,entrance_530,723,52,
pathways_445,723,entrance_530,52,
pathways_446,entrance_530,901,57,
pathways_447,901,entrance_530,57,
pathways_448,entrance_531,B10,40,
pathways_449,B10,entrance_531,40,
pathways_450,entrance_532,B10,35,
pathways_451,B10,entrance_532,35,
pathways_452,entrance_533,631,37,
pathways_453,631,entrance_533,37,
pathways_454,entrance_533,723,47,
pathways_455,723,entrance_533,47,
pathways_456,entrance_533,901,61,
pathways_457,901,entrance_533,61,
pathways_458,entrance_534,B10,32,
pathways_459,B10,entrance_534,32,
pathways_460,entrance_535,B10,32,
pathways_461,B10,entrance_535,32,
pathways_462,entrance_536,631,34,
pathways_463,631,entrance_536,34,
pathways_464,entrance_536,723,46,
pathways_465,723,entrance_536,46,
pathways_466,entrance_536,901,62,
pathways_467,901,entrance_536,62,
pathways_468,entrance_538,B10,44,
pathways_469,B10,entrance_538,44,
pathways_470,entrance_540,B10,43,
pathways_471,B10,entrance_540,43,
pathways_472,entrance_542,631,39,
pathways_473,631,entrance_542,39,
pathways_474,entrance_542,723,34,
pathways_475,723,entrance_542,34,
pathways_476,entrance_542,901,74,
pathways_477,901,entrance_542,74,
pathways_478,entrance_547,631,39,
pathways_479,631,entrance_547,39,
pathways_480,entrance_547,723,35,
pathways_481,723,entrance_547,35,
pathways_482,entrance_547,901,74,
pathways_483,901,entrance_547,74,
pathways_484,entrance_549,631,58,
pathways_485,631,entrance_549,58,
pathways_486,entrance_549,723,46,
pathways_487,901,entrance_549,58,
pathways_488,entrance_549,901,46,
pathways_489,723,entrance_549,46,
pathways_490,entrance_550,631,49,
pathways_491,631,entrance_550,49,
pathways_492,entrance_550,723,37,
pathways_493,723,entrance_550,37,
pathways_494,entrance_550,901,85,
pathways_495,901,entrance_550,85,
pathways_496,entrance_551,631,49,
pathways_497,631,entrance_551,49,
pathways_498,entrance_551,723,41,
pathways_499,723,entrance_551,41,
pathways_500,entrance_551,901,82,
pathways_501,901,entrance_551,82,
pathways_502,entrance_552,630,40,
pathways_503,630,entrance_552,40,
pathways_504,entrance_552,F11,76,
pathways_505,F11,entrance_552,76,
pathways_506,entrance_553,630,33,
pathways_507,630,entrance_553,33,
pathways_508,entrance_553,F11,65,
pathways_509,F11,entrance_553,65,
pathways_510,entrance_554,630,32,
pathways_511,630,entrance_554,32,
pathways_512,entrance_554,F11,66,
pathways_513,F11,entrance_554,66,
pathways_514,entrance_555,630,34,
pathways_515,630,entrance_555,34,
pathways_516,entrance_555,F11,63,
pathways_517,F11,entrance_555,63,
pathways_518,entrance_556,630,32,
pathways_519,630,entrance_556,32,
pathways_520,entrance_556,F11,69,
pathways_521,F11,entrance_556,69,
pathways_522,entrance_557,630,32,
pathways_523,630,entrance_557,32,
pathways_524,entrance_557,F11,64,
pathways_525,F11,entrance_557,64,
pathways_526,entrance_558,630,33,
pathways_527,630,entrance_558,33,
pathways_528,entrance_558,F11,69,
pathways_529,F11,entrance_558,69,
pathways_530,entrance_559,630,33,
pathways_531,630,entrance_559,33,
pathways_532,entrance_559,F11,67,
pathways_533,F11,entrance_559,67,
pathways_534,entrance_560,630,35,
pathways_535,630,entrance_560,35,
pathways_536,entrance_560,F11,69,
pathways_537,F11,entrance_560,69,
pathways_538,entrance_561,630,64,
pathways_539,630,entrance_561,64,
pathways_540,entrance_561,F11,33,
pathways_541,F11,entrance_561,33,
pathways_542,entrance_562,630,67,
pathways_543,630,entrance_562,67,
pathways_544,entrance_562,F11,32,
pathways_545,F11,entrance_562,32,
pathways_546,entrance_563,630,66,
pathways_547,630,entrance_563,66,
pathways_548,entrance_563,F11,34,
pathways_549,F11,entrance_563,34,
pathways_550,entrance_564,630,47,
pathways_551,630,entrance_564,47,
pathways_552,entrance_564,F11,56,
pathways_553,F11,entrance_564,56,
pathways_554,entrance_565,630,54,
pathways_555,630,entrance_565,54,
pathways_556,entrance_565,F11,55,
pathways_557,F11,entrance_565,55,
pathways_558,entrance_566,630,60,
pathways_559,630,entrance_566,60,
pathways_560,entrance_566,F11,54,
pathways_561,F11,entrance_566,54,
pathways_562,entrance_567,630,86,
pathways_563,630,entrance_567,86,
pathways_564,entrance_567,F12,48,
pathways_565,F12,entrance_567,48,
pathways_566,entrance_568,630,88,
pathways_567,630,entrance_568,88,
pathways_568,entrance_568,F12,48,
pathways_569,F12,entrance_568,48,
pathways_570,entrance_579,711,34,
pathways_571,711,entrance_579,34,
pathways_572,entrance_580,G15,45,
pathways_573,G15,entrance_580,45,
pathways_574,entrance_581,G15,45,
pathways_575,G15,entrance_581,45,
pathways_576,entrance_602,633,37,
pathways_577,633,entrance_602,37,
pathways_578,entrance_603,R15,47,
pathways_579,R15,entrance_603,47,
pathways_580,entrance_604,126,38,
pathways_581,126,entrance_604,38,
pathways_582,entrance_605,633,36,
pathways_583,633,entrance_605,36,
pathways_584,entrance_606,633,38,
pathways_585,633,entrance_606,38,
pathways_586,entrance_607,724,67,
pathways_587,724,entrance_607,67,
pathways_588,entrance_607,D16,46,
pathways_589,D16,entrance_607,46,
pathways_590,entrance_608,126,35,
pathways_591,126,entrance_608,35,
pathways_592,entrance_609,R15,42,
